MethodIndex,MethodId,Branch,Estimator,StateCount,UniquePhaseCount,ObservationIndices,PhaseSetDeg,PowerDesignRank,PowerDesignCondition,Recoverable,Canonical,FailureReason
193,B4_K04_I03-05-07-09,Branch4,PowerREV,4,4,3/5/7/9,90/180/270/360,3,1.4142135623731,1,0,
194,B4_K04_I03-05-08-09,Branch4,PowerREV,4,4,3/5/8/9,90/180/315/360,3,1.84282769753824,1,0,
195,B4_K04_I03-06-07-08,Branch4,PowerREV,4,4,3/6/7/8,90/225/270/315,3,2.03950773330884,1,0,
196,B4_K04_I03-06-07-09,Branch4,PowerREV,4,4,3/6/7/9,90/225/270/360,3,1.84282769753824,1,0,
197,B4_K04_I03-06-08-09,Branch4,PowerREV,4,4,3/6/8/9,90/225/315/360,3,1.71198246026788,1,0,
198,B4_K04_I03-07-08-09,Branch4,PowerREV,4,4,3/7/8/9,90/270/315/360,3,2.86467557480933,1,0,
199,B4_K04_I04-05-06-07,Branch4,PowerREV,4,4,4/5/6/7,135/180/225/270,3,5.35659130799869,1,0,
200,B4_K04_I04-05-06-08,Branch4,PowerREV,4,4,4/5/6/8,135/180/225/315,3,2.86467557480933,1,0,
201,B4_K04_I04-05-06-09,Branch4,PowerREV,4,4,4/5/6/9,135/180/225/360,3,2.03950773330883,1,0,
202,B4_K04_I04-05-07-08,Branch4,PowerREV,4,4,4/5/7/8,135/180/270/315,3,3.20041258076506,1,0,
203,B4_K04_I04-05-07-09,Branch4,PowerREV,4,4,4/5/7/9,135/180/270/360,3,1.84282769753824,1,0,
204,B4_K04_I04-05-08-09,Branch4,PowerREV,4,4,4/5/8/9,135/180/315/360,3,2.41421356237309,1,0,
205,B4_K04_I04-06-07-08,Branch4,PowerREV,4,4,4/6/7/8,135/225/270/315,3,2.86467557480933,1,0,
206,B4_K04_I04-06-07-09,Branch4,PowerREV,4,4,4/6/7/9,135/225/270/360,3,1.71198246026788,1,0,
207,B4_K04_I04-06-08-09,Branch4,PowerREV,4,4,4/6/8/9,135/225/315/360,3,1.84282769753824,1,0,
208,B4_K04_I04-07-08-09,Branch4,PowerREV,4,4,4/7/8/9,135/270/315/360,3,2.03950773330884,1,0,
209,B4_K04_I05-06-07-08,Branch4,PowerREV,4,4,5/6/7/8,180/225/270/315,3,5.35659130799869,1,0,
210,B4_K04_I05-06-07-09,Branch4,PowerREV,4,4,5/6/7/9,180/225/270/360,3,2.86467557480933,1,0,
211,B4_K04_I05-06-08-09,Branch4,PowerREV,4,4,5/6/8/9,180/225/315/360,3,3.20041258076506,1,0,
212,B4_K04_I05-07-08-09,Branch4,PowerREV,4,4,5/7/8/9,180/270/315/360,3,2.86467557480933,1,0,
213,B4_K04_I06-07-08-09,Branch4,PowerREV,4,4,6/7/8/9,225/270/315/360,3,5.35659130799869,1,0,
214,B4_K05_I01-02-03-04-05,Branch4,PowerREV,5,5,1/2/3/4/5,0/45/90/135/180,3,2.88280681689163,1,0,
215,B4_K05_I01-02-03-04-06,Branch4,PowerREV,5,5,1/2/3/4/6,0/45/90/135/225,3,2.00879722341795,1,0,
216,B4_K05_I01-02-03-04-07,Branch4,PowerREV,5,5,1/2/3/4/7,0/45/90/135/270,3,2.00879722341795,1,0,
217,B4_K05_I01-02-03-04-08,Branch4,PowerREV,5,5,1/2/3/4/8,0/45/90/135/315,3,2.88280681689164,1,0,
218,B4_K05_I01-02-03-04-09,Branch4,PowerREV,5,4,1/2/3/4/9,0/45/90/135/360,3,5.40710480883444,1,0,
219,B4_K05_I01-02-03-05-06,Branch4,PowerREV,5,5,1/2/3/5/6,0/45/90/180/225,3,2.04661993273673,1,0,
